feature,importance
PaymentMethod_vec,0.130490
DeviceProtection_vec,0.042842
StreamingMovies_vec,0.034211
Contract_vec,0.021671
MonthlyCharges,0.006218
MultipleLines_vec,0.004114
gender_vec,0.003869
OnlineBackup_vec,0.003644
TotalCharges,0.001563
InternetService_vec,0.001321
Partner_vec,0.000000
Dependents_vec,0.000000
PhoneService_vec,0.000000
OnlineSecurity_vec,0.000000
TechSupport_vec,0.000000
StreamingTV_vec,0.000000
PaperlessBilling_vec,0.000000
SeniorCitizen,0.000000
tenure,0.000000
