feature,importance
PaymentMethod_vec,0.100812
StreamingMovies_vec,0.061457
MonthlyCharges,0.027117
Contract_vec,0.022209
SeniorCitizen,0.009674
tenure,0.006669
PaperlessBilling_vec,0.005296
TotalCharges,0.003041
TechSupport_vec,0.002391
Dependents_vec,0.001533
PhoneService_vec,0.001512
InternetService_vec,0.001244
MultipleLines_vec,0.001170
DeviceProtection_vec,0.001093
Partner_vec,0.000666
StreamingTV_vec,0.000662
OnlineSecurity_vec,0.000532
gender_vec,0.000419
OnlineBackup_vec,0.000206
