feature,importance
StreamingMovies_vec,0.365388
PaymentMethod_vec,0.175863
DeviceProtection_vec,0.135351
MonthlyCharges,0.044772
MultipleLines_vec,0.018639
InternetService_vec,0.018639
gender_vec,0.000000
Partner_vec,0.000000
Dependents_vec,0.000000
PhoneService_vec,0.000000
OnlineSecurity_vec,0.000000
OnlineBackup_vec,0.000000
TechSupport_vec,0.000000
StreamingTV_vec,0.000000
Contract_vec,0.000000
PaperlessBilling_vec,0.000000
SeniorCitizen,0.000000
tenure,0.000000
TotalCharges,0.000000
